song,tempo,genre,mood,era,lyrics,any_op
Heaven - Kane Brown,slow,country,happy,2010s,"This is perfect
Come kiss me one more time
I couldn't dream this up
Even if I tried

You and me in this moment
Feels like magic, don't it?
I'm right where I wanna be

Everybody's talking 'bout heaven
Like they just can't wait to go
Saying how it's gonna be so good, so beautiful
Lying next to you,
In this bed with you,
I ain't convinced
'Cause I don't know how, I don't know how heaven, heaven
Could be better than this

I swear that you're an angel
Sent to this world
What did I do right to deserve you, girl?
I could stay here forever
I'd be fine if we never 
Had to even leave this room

Everybody's talking 'bout heaven
Like they just can't wait to go
Saying how it's gonna be so good, so beautiful
Lying next to you,
In this bed with you,
I ain't convinced
'Cause I don't know how, I don't know how heaven, heaven
Could be better than this

Could be better than this

Everybody's talking 'bout heaven
Like they just can't wait to go
Saying how it's gonna be so good, so beautiful
Lying next to you,
(right next to you)
In this bed with you,
I ain't convinced
(so beautiful)
I don't know how, I don't know how heaven, heaven
Could be better than this (heaven)
Could be better than this (heaven, heaven)

I swear this is perfect
Come kiss me one more time
",any
Greatest Love Story - LANCO,slow,country,happy,2010s,"They said I was nothing but a trouble maker never up to no good
You were the perfect all American girl wouldn't touch me even if you could
But you were sneaking out your window every night riding shotgun in my car
We'd go to the river and find us a spot and we probably went a little too far
Just a little too far

Cause I was gonna be your forever and
You were gonna be my wife
We didn't know any better
Didn't have a clue about life
But I was what you wanted you were what I needed
And we could meet in between
We were gonna be the greatest love story this town had ever seen

So you went off to college and I got a job I was working at a 9 to 5
Dreaming of the days when you were in my arms I'd never felt so alive
I'd spend my days working, spend my nights drinking, howling at the moon
Screaming for the days when you were coming back no couldn't come too soon
Couldn't come too soon

When I was gonna be your forever
You were gonna be my wife
But you went off to find better
And I was learning all about life
But I was what you wanted and you were what I needed
And we could meet in between
We were gonna be the greatest love story this town had ever seen

So you came back after a long four years
Your college boyfriend didn't work out
So we went out for a couple of drinks to find out who we are now
Sure we changed but way deep down you had the same old feelings for me
I went to the store and bought you a ring and I got down on one knee
Down on one knee

And I said
I'm gonna be your forever
So baby will you be my wife
Now that we know a little better
We could have a real nice life
Cause I'm what you wanted and you're what I need
So let's meet in between
We are gonna be the greatest love story this town has ever seen
We are gonna be the greatest love story this world has ever seen
So baby say yes to me

",any
Tequila - Dan+Shay,medium,country,sad,2010s,"I can still shut down a party
I can hang with anybody
I can drink whiskey and red wine
Champagne all night
Little scotch on the rocks and I'm fine, I'm fine

But when I taste tequila, baby I still see ya
Cutting up the floor in a sorority T-Shirt
The same one you wore when we were
Sky high in Colorado, your lips pressed against the bottle
Swearing on a Bible, baby, I'd never leave ya
I remember how bad I need ya, when I taste tequila
When I taste tequila

I can kiss somebody brand new and not even think about you
I can show up to the same bar
Hear the same songs in my car
Baby, your memory it only hits me this hard

When I taste tequila, baby I still see ya
Cutting up the floor in a sorority t-shirt
The same one you wore when we were
Sky high in Colorado, your lips pressed against the bottle
Swearing on a Bible, baby, I'd never leave ya
I remember how bad I need ya, when I taste tequila
When I taste tequila

I ain't even drunk, I ain't even drunk
And I'm thinking
How I need your love, how I need your love
Yeah, it sinks in

When I taste tequila, baby I still see ya
Sorority t-shirt, the same one you wore when we were
Sky high in Colorado, your lips pressed against the bottle
Swearing on a Bible, baby, I'd never leave ya
I remember how bad I need ya, when I taste tequila
When I taste tequila
When I taste tequila
When I taste tequila

",any
Break Up in the End - Cole Swindell,slow,country,sad,2010s,"I still walk in that bar a little drunk
I still ask you what you're drinking, what's your name
I still kiss you by the shuffleboard, last call at 2am
Even though we break up in the end

I'll introduce you to my mom and dad
Say ""I think I love her"" when you leave that room
I'd still not take their advice when I say you're moving in
Even though we break up in the end

Even if I knew you'd be the one that got away
I'd still go back and get you
Even if I knew you'd be my best and worst mistake
Oh, I'd still make it with you
Over and over, again and again
Even though we break up in the end

I'd still play my favorite song in your car
Let you love me to it, 'til it felt like ours
Now all I hear is you in it, but I'd still let you ruin it
Even though we break up in the end

Even if I knew you'd be the one that got away
I'd still go back and get you
Even if I knew you'd be my best and worst mistake
Girl, I'd still make it with you
Over and over, again and again
Even though we break up in the end

You've just had one too many tonight
You're just calling 'cause you're lonely, that's okay
But you know if you come over, I can't not let you in
Even though we'll break up in the end
I'd do it over and over, again and again
Even though we break up in the end

",any
You Don't Know Her Like I Do - Brantley Gilbert,slow,country,sad,2010s,"Hey old friend, thanks for callin'
It's good to know somebody cares
Yeah she's gone, but I don't feel like talkin'
It might be just too much to bear
To hear somebody say it stops hurting
Or to hear somebody say she ain't worth it

'Cause you don't know her like I do
You'll never understand
You don't know we've been through
That girl's my best friend
And there's no way you're gonna help me
She's the only one who can
No, you don't know how much I've got to lose
You don't know her like I do

I can't forget, I'm drowning in these memories
It fills my soul with all the little things
And I can't cope, it's like a death inside the family
It's like she stole my way to breathe
So don't try to tell me I'll stop hurting
And don't try to tell me she ain't worth it

Cause you don't know her like I do
You'll never understand
You don't know we've been through
That girl's my best friend
And there's no way you're gonna help me
She's the only one who can
No, you don't know how much I've got to lose
You don't know her like I do

You don't know her like I do
You'll never understand
You don't know we've been through
That girl's my best friend
There's no way you're gonna help me
She's the only one who can
No, you don't know how much I've got to lose
No, you'll never know how much I've got to lose
You don't know her like I do

Not like I do
Never understand
That girl's my best friend
That girl's my best friend
That girl's my best friend.

",any
Love Ain't - Eli Young Band,fast,country,happy,2010s,"Hotels are made for two-night stays
Checkin' in and out
Meetin' strangers in the lobby
Wakin' up and leavin' town the next day
But love ain't

And whiskey's poured for when you're bored
And alone on Friday night
When you wanna lose yourself
And need a place to hide from all the pain
But love ain't

Love ain't you on a sidewalk in your new dress all alone
Love ain't you callin' me 'cause he ain't pickin' up his phone
The way you're talkin', sounds like he's somebody you should hate
I may not know what love is, girl
But I know what love ain't
Come over, let me show you what he can't
'Cause he can only show you what love ain't

Sad movies are for cryin'
On the couch there in the dark
That sad song, it was written
Just to try and get your heart to break
But love ain't

Love ain't you on a sidewalk in your new dress all alone
Love ain't you callin' me 'cause he ain't pickin' up his phone
The way you're talkin', sounds like he's somebody you should hate
I may not know what love is, girl
But I know what love ain't
Come over, let me show you what he can't
'Cause he can only show you what love ain't

Love ain't
Wonderin' what he's doin'
Love ain't
Feelin' like a fool and
You can't
Keep lettin' him do it to you

'Cause love ain't you on a sidewalk in your new dress all alone
Love ain't you callin' me 'cause he ain't pickin' up his phone
The way you're talkin', sounds like he's somebody you should hate
I may not know what love is, girl
But I know what love ain't
Come over, let me show you what he can't
'Cause he can only show you what love ain't
Love ain't
Love ain't

",any
Drowns the Whiskey (Feat. Miranda Lambert) - Jason Aldean,slow,country,sad,2010s,"[Jason Aldean:]
All the folks down in Lynchburg, Tennessee
Been working hard for good ol' boys like me
I don't wanna be the one to tell 'em
That stuff that they been selling
Ain't working like it should
But I damn sure wish it would

[Jason Aldean & Miranda Lambert:]
Whiskey's supposed to drown a memory
I've gone from one to one too many
And the thing that really gets me
Is how your memory drowns the whiskey

Maybe it's the bar or the stool I'm on
Maybe it's the band and this sad ol' song
That keeps me buying rounds
That keeps me turning down
Any girl that wants to dance
And you ain't giving them a chance

Whiskey's supposed to drown a memory
I've gone from one to one too many
And the thing that really gets me
Is how your memory drowns the whiskey

Girl I'm livin' proof
That 80 proof
Ain't got a shot
At touching you

But whiskey's supposed to drown a memory
I've gone from one to one too many
And the thing that really gets me
Is whiskey's supposed to drown a memory
I've gone from one to one too many
And the thing that really gets me
Is how your memory drowns the whiskey
Yeah the thing that really gets me
Is how your memory drowns the whiskey

All the folks down in Lynchburg, Tennessee
Been working hard for good ol' boys like me

",any
You Make It Easy - Jason Aldean,slow,country,happy,2010s,"Like a rainy Sunday morning makes me want to stay in bed
Twisted up all day long
You're my inspiration, girl you take me places
Put the words right into these songs

Stealing kisses under cover, babe
See forever when I see your face
And I swear God made you for me

You make it easy
Lovin' up on you
Make it easy
With every little thing you do
You're my sunshine in the darkest days
My better half, my saving grace
You make me who I wanna be
You make it easy

You took all my rough around the edges
Never let it ruffle up your feathers, angel
Yeah I'm down for life, you got me wrapped around your finger
And I like it just in case you can't tell

You make it easy
Lovin' up on you
Make it easy
With every little thing you do
You're my sunshine in the darkest days
My better half, my saving grace
You make me who I wanna be
You make it easy

Stealing kisses under cover, babe
See forever when I see your face
And I swear God made you for me

You make it easy
Lovin' up on you
Make it easy
With every little thing you do
You're my sunshine in the darkest days
My better half, my saving grace
You make me who I wanna be
You make it easy
You make it easy

",any
Whiskey Glasses - Morgan Wallen,medium,country,happy,2010s,"Pour me, pour me another drink
Cause I don't wanna feel a thing
No more, hell nah
I just wanna sip it til the pain wears off

Pour me, pour me another round
Line'em up and knock'em down
Two more, let's go
Cause I ain't ever hurt like this before

Don't wanna think about her, or wear a ring without her
Don't wanna hit the karaoke bar, can't sing without her
So make them drinks strong, cause brother she's gone
And if I'm ever gonna move on

I'ma need some whiskey glasses
Cause I don't wanna see the truth
She's probly makin' out on the couch right now with someone new
Yea I'ma need some whiskey glasses
If I'm gonna make it through
If I'ma be single I'ma need a double shot of that heartbreak proof
And see the world through whiskey glasses
See the world through whiskey glasses

Last call, I swear this'll be my last call
Now I ain't drunk dialin' no more at 3am
Mr. Bartender hit me again

Don't wanna think about her, or wear a ring without her
Don't wanna hit the karaoke bar, can't sing without her
So make them drinks strong, cause brother she's gone
And if I'm ever gonna move on

I'ma need some whiskey glasses
Cause I don't wanna see the truth
She's probly makin' out on the couch right now with someone new
Yea I'ma need some whiskey glasses
If I'm gonna make it through
If I'ma be single I'ma need a double shot of that heartbreak proof
And see the world through whiskey glasses
Oh see the world through whiskey glasses, yeah

Line'em up, line'em up, line'em up, line'em up
Knock 'em back, knock 'em back, knock'em back, knock'em back
Fill'em up, fill'em up, fill'em up, fill'em up,
Cause if she ain't ever comin' back

Line'em up, line'em up, line'em up, line'em up
Knock'em back, knock'em back, knock'em back, knock'em back
Fill'em up, fill'em up, fill'em up, fill'em up,
Cause if she ain't ever comin' back

I'ma need some whiskey glasses
Cause I don't wanna see the truth
She's probly makin' out on the couch right now with someone new
Yea I'ma need some whiskey glasses
If I'm gonna make it through
If I'ma be single I'ma need a double shot of that heartbreak proof
And see the world through whiskey glasses
Ohh see the world through whiskey glasses, yeah
See the world through whiskey glasses, yeah

",any
Stawberry Wine - Deana Carter,slow,country,happy,1990s,"He was working through college 
On my grandpa's farm
I was thirsting for knowledge 
And he had a car
Yeah, I was caught somewhere between a woman and a child
One restless summer we found love growing wild
On the banks of the river on a well-beaten path
It's funny how those memories they last

Like strawberry wine and seventeen
The hot July moon saw everything
My first taste of love, oh bittersweet
The green on the vine
Like strawberry wine

I still remember 
When thirty was old
My biggest fear was September 
When he had to go
A few cards and letters and one long distance call
We drifted away like the leaves in the fall
But year after year I come back to this place
Just to remember the taste

Of strawberry wine and seventeen
The hot July moon saw everything
My first taste of love, oh bittersweet
The green on the vine
Like strawberry wine

The fields have grown over now
Years since they've seen a plow
There's nothing time hasn't touched
Is it really him or the loss of my innocence
I've been missing so much
Yeah

Strawberry wine and seventeen
The hot July moon saw everything
My first taste of love, oh bittersweet
And green on the vine
Like strawberry wine
And seventeen
The hot July moon saw everything
My first taste of love, oh bittersweet
The green on the vine
Like strawberry wine
Strawberry wine
Strawberry wine",any
Stay - Sugarland,slow,country,sad,2000s,"I've been sitting here staring at the clock on the wall
And I've been laying here praying, praying she won't call
It's just another call from home
And you'll get it and be gone
And I'll be crying

And I'll be begging you, baby
Beg you not to leave
But I'll be left here waiting
With my heart on my sleeve
Oh, for the next time we'll be here
Seems like a million years
And I think I'm dying

What do I have to do to make you see
She can't love you like me?

Why don't you stay
I'm down on my knees
I'm so tired of being lonely
Don't I give you what you need
When she calls you to go
There is one thing you should know
We don't have to live this way
Baby, why don't you stay

You keep telling me, baby
There will come a time
When you will leave her arms
And forever be in mine
But I don't think that's the truth
And I don't like being used and I'm tired of waiting
It's too much pain to have to bear
To love a man you have to share

Why don't you stay
I'm down on my knees
I'm so tired of being lonely
Don't I give you what you need
When she calls you to go
There is one thing you should know
We don't have to live this way
Baby, why don't you stay

I can't take it any longer
But my will is getting stronger
And I think I know just what I have to do
I can't waste another minute
After all that I've put in it
I've given you my best
Why does she get the best of you
So next time you find you wanna leave her bed for mine

Why don't you stay
I'm up off my knees
I'm so tired of being lonely
You can't give me what I need
When she begs you not to go
There is one thing you should know
I don't have to live this way
Baby, why don't you stay, yeah



",any
Die From a Broken Heart - Maddie & Tae,medium,country,sad,2010s,"Hey, mamma, how do you get a red-wine stain out of your favorite dress? 
Black mascara off a pillow case
Cure a one-too-many headache
Mamma, can I come and maybe stay a few days?
This weekend or next
And hey, how do you get a red-wine stain out of your favorite dress?

How does he sleep at night? 
Mamma, the nerve of this guy
To leave me so easy
Am I gonna be alright?
I wanna kick myself for falling so hard
Mamma, can you die from a broken heart?

Can you ask daddy if he's got time to come and look at my front door?
It got slammed last night
And now it don't close right
And just promise that you won't tell him everything and keep that pistol in the drawer
Mamma, please don't say 
I'm gonna laugh about this someday
You didn't see the way he drove away

How does he sleep at night? 
Mamma, the nerve of this guy
To leave me so easy
Am I gonna be alright?
I wanna kick myself for falling so hard
Mamma, can you die from a broken heart?
Oh, broken heart

Can your knees give out from praying so hard?
Can you go blind from crying in the dark?
Was it ever really real
If he don't feel like I feel?

How does he sleep at night? 
Mamma, the nerve of this guy
To leave me so easy
Am I gonna be alright?

How does he sleep at night? 
Mamma, the nerve of this guy
To leave me so easy
Am I gonna be alright?
I wanna kick myself for falling so hard
Mamma, can you die from a broken heart?
A broken heart

",any
I Hope - Gabby Barrett,medium,country,sad,2010s,"I, I hope she makes you smile
The way you made me smile
On the other end of a phone
In the middle of the highway driving alone

Oh, baby, I, I hope you hear a song
That makes you sing along
And gets you thinking about her
Then the last several miles turns into a blur
Yeah

I hope you both feel the sparks by the end of the drive
I hope you know she's the one by the end of the night
I hope you never ever felt more free
Tell your friends that you're so happy

I hope she comes along and wrecks every one of your plans
I hope you spend your last dime to put a rock on her hand
I hope she's wilder than your wildest dreams
She's everything you're ever gonna need

And then I hope she cheats
Like you did on me
And then I hope she cheats
Like you did on me

Yeah, babe, I hope she shows up in a 2-AM pic from her friend
Hanging on to a guy, and you just ain't him
I hope you stay up all night all alone waiting by the phone
And then she calls

And, baby, I, I hope you work it out
Forgive and just about
Forget and take her on a first date again
And when you lean in for a kiss

I hope you both feel the sparks by the end of the drive
I hope you know she's the one by the end of the night
I hope you never ever felt more free
Tell your friends that you're so happy

I hope she comes along and wrecks every one of your plans
I hope you spend your last dime to put a rock on her hand
I hope she's wilder than your wildest dreams
She's everything you're ever gonna need

And then I hope she cheats
Like you did on me
And then I hope she cheats
Like you did on me

I hope what goes, comes all the way around
I hope she makes you feel the same way about her that I feel about you right now

I hope you both feel the sparks by the end of the drive
I hope you know she's the one by the end of the night
I hope you never ever felt more free
Tell your friends that you're so happy

I hope she comes along and wrecks every one of your plans
I hope you spend your last dime to put a rock on her hand
I hope she's wilder than your wildest dreams
She's everything you're ever gonna need

And then I hope she cheats
Like you did on me
And then I hope she cheats
Like you did on me

Like you did on me

",any
Best Thing I Never Had - Beyonce,medium,pop,sad,2010s,"What goes around comes back around, hey, my baby
What goes around comes back around, hey, my baby
I say what goes around comes back around, hey, my baby
What goes around comes back around

There was a time
I thought, that you did everything right
No lies, no wrong
Boy, I must've been out of my mind
So, when I think of the time that I almost loved you
You showed your ass and I—I saw the real you

Thank God you blew it
I thank God I dodged the bullet
I'm so over you
So, baby, good lookin' out

I wanted you bad
I'm so through with that
'Cause honestly you turned out to be the best thing I never had
You turned out to be the best thing I never had
And I'm gon' always be the best thing you never had
Oh yeah, I bet it sucks to be you right now

So sad, you're hurt
Boo hoo, oh, did you expect me to care?
You don't deserve my tears
I guess that's why they ain't there
When I think that there was a time that I almost loved you
You showed your ass and, baby, yes, I saw the real you

Thank God you blew it
I thank God I dodged the bullet
I'm so over you
Baby, good lookin' out

I wanted you bad
I'm so through with that
'Cause honestly you turned out to be the best thing I never had
I said, you turned out to be the best thing I never had
And I'll never be the best thing you never had
Oh, baby, I bet it sucks to be you right now

I know you want me back
It's time to face the facts
That I'm the one that's got away
Lord knows that it would take another place, another time, another world, another life
Thank God I found the good in goodbye

I used to want you so bad
I'm so through with that
'Cause honestly you turned out to be the best thing I never had
Oh you turned out to be the best thing I never had
And I will always be the best thing you never had
Oh, best thing you never had!

I used to want you so bad
I'm so through with that
'Cause honestly you turned out to be the best thing I never had
Oh you turned out to be the best thing I never had
Oh, I will never be the best thing you never had
Oh, baby, I bet it sucks to be you right now

What goes around, comes back around
What goes around, comes back around
I bet it sucks to be you right now
What goes around, comes back around
I bet it sucks to be you right now
What goes around, comes back around
I bet it sucks to be you right now

",any
No Scrubs - TLC,medium,r&b/soul,happy,1990s,"A scrub is a guy that thinks he's fly
And is also known as a buster
Always talkin' about what he wants
And just sits on his broke ass
So, no

I don't want your number, no.
I don't want to give you mine and, no,
I don't want to meet you nowhere, no.
I don't want none of your time and, no,

[Chorus:]
I don't want no scrub
A scrub is a guy that can't get no love from me
Hanging out the passenger side
Of his best friend's ride
Trying to holler at me
I don't want no scrub
A scrub is a guy that can't get no love from me
Hanging out the passenger side
Of his best friend's ride
Trying to holler at me

But a scrub is checkin' me
But his game is kinda weak
And I know that he cannot approach me
'Cause I'm lookin' like class and he's lookin' like trash
Can't get with a dead-beat ass
So, no

I don't want your number, no.
I don't want to give you mine and, no,
I don't want to meet you nowhere, no.
I don't want none of your time, no.

[Chorus]

If you don't have a car and you're walking
Oh yes, son, I'm talking to you
If you live at home with your mamma
Oh yes, son, I'm talking to you, baby
If you have a shorty but you don't show love
Oh yes, son, I'm talking to you
Wanna get with me with no money
Oh no, I don't want, no, oh

No scrub
No scrub, no, no
No scrub, no, no, no, no, no
No scrub, no, no
No

[Music video's spoken part:]
See, if you can't spatially expand my horizons
Then that leaves you in a class with scrubs, never rising
I don't find it surprising if you don't have the Gs
To please me and bounce from here to the coast of overseas
So, let me give you something to think about
Inundate your mind with intentions to turn you out
Can't forget the focus on the picture in front of me
You as clear as DVD on digital TV screens
Satisfy my appetite with something spectacular
Check your vernacular, and then I get back to ya
With diamond-like precision
Insatiable is what I envision
Can't detect acquisition
From your friend's expedition
Mr. Big Willy, if you really wanna know
Ask Chilli, could I be a silly ho?
Not really
T-Boz and all my señoritas
Are steppin' on your FILAs
But you don't hear me, though

[Chorus 4x]


",any
Big Girls Don't Cry (Personal) - Fergie,medium,hip-hop/rap,sad,2000s,"The smell of your skin lingers on me now.
You're probably on your flight back to your home town.
I need some shelter of my own protection, baby,
To be with myself and center clarity, peace, serenity.

I hope you know, I hope you know
That this has nothing to do with you.
It's personal: myself and I.
We've got some straightenin' out to do.

And I'm gonna miss you like a child misses their blanket,
But I've got to get a move on with my life.
It's time to be a big girl now.
And big girls don't cry,
Don't cry, don't cry, don't cry.

The path that I'm walking I must go alone.
I must take the baby steps 'til I'm full-grown, full-grown.
Fairytales don't always have a happy ending, do they?
And I foresee the dark ahead if I stay?

I hope you know, I hope you know
That this has nothing to do with you.
It's personal: myself and I.
We've got some straightenin' out to do.

And I'm gonna miss you like a child misses their blanket,
But I've got to get a move on with my life.
It's time to be a big girl now.
And big girls don't cry.

Like the little school mate in the school yard
We'll play jacks and uno cards.
I'll be your best friend and you'll be my Valentine.
Yes, you can hold my hand if you want to
'Cause I want to hold yours too.
We'll be playmates and lovers and share our secret worlds.

But it's time for me to go home.
It's getting late and dark outside.
I need to be with myself and center clarity, peace, serenity.

I hope you know, I hope you know
That this has nothing to do with you.
It's personal: myself and I.
We've got some straightenin' out to do.

And I'm gonna miss you like a child misses their blanket,
But I've got to get a move on with my life.
It's time to be a big girl now.
And big girls don't cry,
Don't cry, don't cry, don't cry.


",any
F**k You - CeeLo Green,fast,r&B/soul,happy,2010s,"I see you driving 'round town with the girl I love
and I'm like, ""Fuck you!""
I guess the change in my pocket wasn't enough
I'm like, ""Fuck you and fuck her too.""

I said, ""If I was richer, I'd still be with ya.""
Ha, now ain't that some shit?
(Ain't that some shit?)
And although there's pain in my chest
I still wish you the best
With a ""Fuck you!""

I'm sorry,
I can't afford a Ferrari,
But that don't mean I can't get you there.
I guess he's an Xbox and I'm more Atari,
But the way you play your game ain't fair.

I pity the fool
That falls in love with you
(Oh shit she's a golddigger)
Well (Just thought you should know nigga)
I've got some news for you.
Yeah go run and tell your little boyfriend.

I see you driving 'round town with the girl I love
and I'm like, ""Fuck you!""
I guess the change in my pocket wasn't enough
I'm like, ""Fuck you and fuck her too.""

I said, ""If I was richer, I'd still be with ya.""
Ha, now ain't that some shit?
(Ain't that some shit?)
And although there's pain in my chest
I still wish you the best
With a ""Fuck you!""

Now I know,
That I had to borrow,
Beg and steal and lie and cheat.
Trying to keep ya,
Trying to please ya.
'Cause being in love with your ass ain't cheap.

Now I pity the fool
That falls in love with you
(Oh shit she's a golddigger)
Well (Just thought you should know nigga)
I've got some news for you.
I really hate your ass right now.

I see you driving 'round town with the girl I love
and I'm like, ""Fuck you!""
I guess the change in my pocket wasn't enough
I'm like, ""Fuck you and fuck her too.""

I said, ""If I was richer, I'd still be with ya.""
Ha, now ain't that some shit?
(Ain't that some shit?)
And although there's pain in my chest
I still wish you the best
With a ""Fuck you!""

Now baby, baby, baby, why d'you wanna wanna hurt me so bad?
(So bad, so bad, so bad)
I tried to tell my mama but she told me,
""This is one for your dad.""
(Your dad, your dad, your dad, yes she did)
Why? Why? Why, lady?

I love you.
I still love you.

I see you driving 'round town with the girl I love
""Fuck you!""
I guess the change in my pocket wasn't enough
I'm like, ""Fuck you and fuck her too.""

I said, ""If I was richer, I'd still be with ya""
Ha, now ain't that some shit?
(Ain't that some shit?)
And although there's pain in my chest
I still wish you the best
With a ""Fuck you!""



",any
"Bills, Bills, Bills - Destiny's Child",medium,r&B/soul,happy,1990s,"[Beyonce:]
At first we started out real cool
Taking me places I ain't never been
But now, you're getting comfortable
Ain't doing those things you did no more
You're slowly making me pay for things
Your money should be handling

And now you ask to use my car (car)
Drive it all day and don't fill up the tank
And you have the audacity
To even come and step to me
Ask to hold some money from me
Until you get your check next week

[Kelly Rowland:]
You triflin', good for nothing type of brother
Silly me, why haven't I found another?
A baller, when times get hard
I need someone to help me out
Instead of a scrub like you
Who don't know what a man's about

Can you pay my bills?
Can you pay my telephone bills?
Do you pay my automo' bills?
If you did then maybe we could chill
I don't think you do
So, you and me are through
Can you pay my bills?
Can you pay my telephone bills?
Do you pay my automo' bills?
If you did then maybe we could chill
I don't think you do
So, you and me are through

[Beyonce:]
Now you've been maxing out my card (card)
Gave me bad credit, buyin' me gifts with my own ends
Haven't paid the first bill
But instead you're headin' to the mall
Goin' on shopping sprees perpetrating
Telling your friends that you be ballin'
And then you use my cell phone (phone)
Callin' whoever that you think's at home
And then when the bill comes
All of a sudden you be acting dumb
Don't know where none of these calls come from
When your momma's number's here more than once

[Kelly Rowland:]
You triflin', good for nothing type of brother
Silly me, why haven't I found another?
A baller, when times get hard
I need someone to help me out
Instead of a scrub like you
Who don't know what a man's about

Can you pay my bills?
Can you pay my telephone bills?
Do you pay my automo' bills?
If you did then maybe we could chill
I don't think you do
So, you and me are through
Can you pay my bills?
Can you pay my telephone bills?
Do you pay my automo' bills?
If you did then maybe we could chill
I don't think you do
So, you and me are through

You triflin', good for nothing type of brother
Oh silly me, why haven't I found another?
You triflin', good for nothing type of brother
Oh silly me, why haven't I found another?

You triflin', good for nothing type of brother
Oh silly me, why haven't I found another?
You triflin', good for nothing type of brother
Oh silly me, why haven't I found another?

Can you pay my bills?
Can you pay my telephone bills?
Do you pay my automo' bills?
If you did then maybe we could chill
I don't think you do
So, you and me are through

Can you pay my bills?
Can you pay my telephone bills?
Do you pay my automo' bills?
If you did then maybe we could chill
I don't think you do
So, you and me are through

",any
"thank u, next - Ariana Grande",medium,pop,happy,2010s,"Thought I'd end up with Sean
But he wasn't a match
Wrote some songs about Ricky
Now I listen and laugh
Even almost got married
And for Pete, I'm so thankful
Wish I could say, ""Thank you"" to Malcolm
'Cause he was an angel

One taught me love
One taught me patience
And one taught me pain
Now, I'm so amazing
Say I've loved and I've lost
But that's not what I see
So, look what I got
Look what you taught me
And for that, I say

Thank you, next (Next)
Thank you, next (Next)
Thank you, next
I'm so fuckin' grateful for my ex
Thank you, next (Next)
Thank you, next (Next)
Thank you, next (Next)
I'm so fuckin'...

Spend more time with my friends
I ain't worried 'bout nothin'
Plus, I met someone else
We havin' better discussions
I know they say I move on too fast
But this one gon' last
'Cause her name is Ari
And I'm so good with that (So good with that)

She taught me love (Love)
She taught me patience (Patience)
How she handles pain (Pain)
That shit's amazing (Yeah, she's amazing)
I've loved and I've lost (Yeah, yeah)
But that's not what I see (Yeah, yeah)
'Cause look what I've found (Yeah, yeah)
Ain't no need for searching, and for that, I say

Thank you, next (Thank you, next)
Thank you, next (Thank you, next)
Thank you, next (Thank you)
I'm so fuckin' grateful for my ex
Thank you, next (Thank you, next)
Thank you, next (Said thank you, next)
Thank you, next (Next)
I'm so fuckin' grateful for my ex

Thank you, next
Thank you, next
Thank you, next
I'm so fucking...

One day I'll walk down the aisle
Holding hands with my mama
I'll be thanking my dad
'Cause she grew from the drama
Only wanna do it once, real bad
Gon' make that shit last
God forbid something happens
Least this song is a smash (Song is a smash)

I've got so much love (Love)
Got so much patience (Patience)
I've learned from the pain (Pain)
I turned out amazing (Turned out amazing)
Say I've loved and I've lost (Yeah, yeah)
But that's not what I see (Yeah, yeah)
'Cause look what I've found (Yeah, yeah)
Ain't no need for searching
And for that, I say

Thank you, next (Thank you, next)
Thank you, next (Thank you, next)
Thank you, next
I'm so fuckin' grateful for my ex
Thank you, next (Thank you, next)
Thank you, next (Said thank you, next)
Thank you, next (Next)
I'm so fuckin' grateful for my ex

Thank you, next
Thank you, next
Thank you, next
Yeah, yee
Thank you, next
Thank you, next
Thank you, next
Yeah, yee

",any
Good as Hell - Lizzo,fast ,pop,happy,2010s,"I do my hair toss
Check my nails
Baby how you feelin'?
Feeling good as hell
Hair toss
Check my nails
Baby how you feelin'?
Feeling good as hell

Woo child, tired of the bullshit
Go on dust your shoulders off, keep it moving
Yes Lord, tryna get some new shit
In there, swimwear, going to the pool shit
Come now, come dry your eyes
You know you a star, you can touch the sky
I know that it's hard but you have to try
If you need advice, let me simplify

If he don't love you anymore
Just walk your fine ass out the door

I do my hair toss
Check my nails
Baby how you feelin'?
Feeling good as hell
Hair toss
Check my nails
Baby how you feelin'?
Feeling good as hell
Feeling good as hell
Baby how you feelin'?
Feeling good as hell

Woo girl, need to kick off your shoes
Got to take a deep breath, time to focus on You
All the big fights, long nights that you been through
I got a bottle of Tequila I been saving for you
Boss up and change your life
You can have it all, no sacrifice
I know he did you wrong, we can make it right
So go and let it all hang out tonight

Cause he don't love you anymore
So walk your fine ass out the door

And do your hair toss
Check my nails
Baby how you feelin'?
Feeling good as hell
Hair toss
Check my nails
Baby how you feelin'?
Feeling good as hell
Hair toss
Check my nails
Baby how you feelin'?
Feeling good as hell

If he don't love you anymore
Then walk your fine ass out the door

And do your hair toss
Check my nails
Baby how you feelin'?
Feeling good as hell
Hair toss
Check my nails
Baby how you feelin'?
Feeling good as hell
Hair toss
Check my nails
Baby how you feelin'?
Feeling good as hell
Feeling good as hell
Baby how you feelin'?
Feeling good as hell",any
